65536|0|0|0|0|0|0|0|0
65540|0|0|0|0|0|0|0|0
65544|0|0|5|0|0|0|0|0
65548|0|0|5|0|0|0|0|0
65552|0|0|5|0|0|0|0|0
65556|0|0|5|0|0|0|0|0
65560|0|0|5|0|0|0|0|0
65564|0|0|5|0|0|0|0|0
65568|0|0|5|0|0|0|0|0
65572|0|0|5|0|0|1|0|0
65576|0|0|5|0|0|1|1|0
65580|0|0|5|1|0|1|1|0
65552|0|0|5|1|0|1|1|0
65556|0|0|5|1|0|1|1|0
65560|0|0|5|1|2|1|1|0
65564|0|0|5|1|4|1|1|0
65568|0|0|5|1|4|1|1|0
65572|0|0|5|1|4|3|1|0
65576|0|0|5|1|4|3|4|0
65580|0|0|5|2|4|3|4|0
65552|0|0|5|2|4|3|4|0
65556|0|0|5|2|4|3|4|0
65560|0|0|5|2|4|3|4|0
65564|0|0|5|2|8|3|4|0
65568|0|0|5|2|8|3|4|0
65572|0|0|5|2|8|-4|4|0
65576|0|0|5|2|8|-4|0|0
65580|0|0|5|3|8|-4|0|0
65552|0|0|5|3|8|-4|0|0
65556|0|0|5|3|8|-4|0|0
65560|0|0|5|3|6|-4|0|0
65564|0|0|5|3|12|-4|0|0
65568|0|0|5|3|12|-4|0|0
65572|0|0|5|3|12|5|0|0
65576|0|0|5|3|12|5|5|0
65580|0|0|5|4|12|5|5|0
65552|0|0|5|4|12|5|5|0
65556|0|0|5|4|12|5|5|0
65560|0|0|5|4|8|5|5|0
65564|0|0|5|4|16|5|5|0
65568|0|0|5|4|16|5|5|0
65572|0|0|5|4|16|3|5|0
65576|0|0|5|4|16|3|8|0
65580|0|0|5|5|16|3|8|0
65552|0|0|5|5|16|3|8|0
65584|0|0|5|5|16|3|8|0
65588|0|0|5|5|16|3|8|0
