27405950|0010011101000000010110010|10|MISS
27405954|0010011101000000010110010|10|HIT
27405958|0010011101000000010110010|10|HIT
2740595c|0010011101000000010110010|10|HIT
27405960|0010011101000000010110010|11|MISS
27405964|0010011101000000010110010|11|HIT
27405968|0010011101000000010110010|11|HIT
2740596c|0010011101000000010110010|11|HIT
27405970|0010011101000000010110010|11|HIT
27405974|0010011101000000010110010|11|HIT
27405978|0010011101000000010110010|11|HIT
2740597c|0010011101000000010110010|11|HIT
27405980|0010011101000000010110011|00|MISS
27405984|0010011101000000010110011|00|HIT
27405988|0010011101000000010110011|00|HIT
2740598c|0010011101000000010110011|00|HIT
27405990|0010011101000000010110011|00|HIT
27405994|0010011101000000010110011|00|HIT
27405998|0010011101000000010110011|00|HIT
2740599c|0010011101000000010110011|00|HIT
274059a0|0010011101000000010110011|01|MISS
274059a4|0010011101000000010110011|01|HIT
274059a8|0010011101000000010110011|01|HIT
274059ac|0010011101000000010110011|01|HIT
274059b0|0010011101000000010110011|01|HIT
274059b4|0010011101000000010110011|01|HIT
274059b8|0010011101000000010110011|01|HIT
274059bc|0010011101000000010110011|01|HIT
274059c0|0010011101000000010110011|10|MISS
274059c4|0010011101000000010110011|10|HIT
274059c8|0010011101000000010110011|10|HIT
274059cc|0010011101000000010110011|10|HIT
274059d0|0010011101000000010110011|10|HIT
274059d4|0010011101000000010110011|10|HIT
274059d8|0010011101000000010110011|10|HIT
274059dc|0010011101000000010110011|10|HIT
274059e0|0010011101000000010110011|11|MISS
274059e4|0010011101000000010110011|11|HIT
274059e8|0010011101000000010110011|11|HIT
274059ec|0010011101000000010110011|11|HIT
274059f0|0010011101000000010110011|11|HIT
274059f4|0010011101000000010110011|11|HIT
274059f8|0010011101000000010110011|11|HIT
274059fc|0010011101000000010110011|11|HIT
27405a00|0010011101000000010110100|00|MISS
27405a04|0010011101000000010110100|00|HIT
27405a08|0010011101000000010110100|00|HIT
27405a0c|0010011101000000010110100|00|HIT
27405a10|0010011101000000010110100|00|HIT
27405a14|0010011101000000010110100|00|HIT
27405a18|0010011101000000010110100|00|HIT
27405a1c|0010011101000000010110100|00|HIT
27405a20|0010011101000000010110100|01|MISS
27405a24|0010011101000000010110100|01|HIT
27405a28|0010011101000000010110100|01|HIT
27405a2c|0010011101000000010110100|01|HIT
27405a30|0010011101000000010110100|01|HIT
27405a34|0010011101000000010110100|01|HIT
27405a38|0010011101000000010110100|01|HIT
27405a3c|0010011101000000010110100|01|HIT
27405a40|0010011101000000010110100|10|MISS
27405a44|0010011101000000010110100|10|HIT
27405a48|0010011101000000010110100|10|HIT
27405a4c|0010011101000000010110100|10|HIT
27405a50|0010011101000000010110100|10|HIT
27405a54|0010011101000000010110100|10|HIT
27405a58|0010011101000000010110100|10|HIT
27405a5c|0010011101000000010110100|10|HIT
27405a60|0010011101000000010110100|11|MISS
27405a64|0010011101000000010110100|11|HIT
27405a68|0010011101000000010110100|11|HIT
27405a6c|0010011101000000010110100|11|HIT
27405a70|0010011101000000010110100|11|HIT
27405a74|0010011101000000010110100|11|HIT
27405a78|0010011101000000010110100|11|HIT
27405a7c|0010011101000000010110100|11|HIT
27405a80|0010011101000000010110101|00|MISS
27405a84|0010011101000000010110101|00|HIT
27405a88|0010011101000000010110101|00|HIT
27405a8c|0010011101000000010110101|00|HIT
27405a90|0010011101000000010110101|00|HIT
27405a94|0010011101000000010110101|00|HIT
27405a98|0010011101000000010110101|00|HIT
27405a9c|0010011101000000010110101|00|HIT
27405aa0|0010011101000000010110101|01|MISS
27405aa4|0010011101000000010110101|01|HIT
27405aa8|0010011101000000010110101|01|HIT
27405aac|0010011101000000010110101|01|HIT
27405ab0|0010011101000000010110101|01|HIT
27405ab4|0010011101000000010110101|01|HIT
27405ab8|0010011101000000010110101|01|HIT
27405abc|0010011101000000010110101|01|HIT
27405ac0|0010011101000000010110101|10|MISS
27405ac4|0010011101000000010110101|10|HIT
27405ac8|0010011101000000010110101|10|HIT
27405acc|0010011101000000010110101|10|HIT
27405ad0|0010011101000000010110101|10|HIT
27405ad4|0010011101000000010110101|10|HIT
27405ad8|0010011101000000010110101|10|HIT
27405adc|0010011101000000010110101|10|HIT
